"","True_LR","Pair.Name","Ligand","Ligand.Name","Receptor","Receptor.Name","complex_pair","source","target","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","sources","references","curation_effort","n_references","n_resources","annotation_strategy"
"358",TRUE,"Rspo3_Lgr4","Rspo3","R-spondin 3","Lgr4","leucine rich repeat containing G protein-coupled receptor 4",NA,"Q9BXY4","Q9BXB1",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:21693646;Baccin2019:21909076;CellTalkDB:21693646;Cellinker:29405118;Cellinker:29769720;Guide2Pharma:21693646;LRdb:21693646;LRdb:21909076;Lit-BM-17:24050775;Lit-BM-17:25504990;connectomeDB2020:21693646;connectomeDB2020:21909076;scConnect:21693646;scConnect:21909076",14,6,13,"both"
"359",TRUE,"Rspo1_Lgr5","Rspo1","R-spondin 1","Lgr5","leucine rich repeat containing G protein-coupled receptor 5",NA,"Q2MKA7","O75473",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:2169364621693640;CellTalkDB:21693646;Cellinker:21693646;Cellinker:24349440;Guide2Pharma:21693646;LRdb:21693646;connectomeDB2020:21693646;scConnect:21693646",8,3,13,"both"
"360",TRUE,"Rspo2_Lgr5","Rspo2","R-spondin 2","Lgr5","leucine rich repeat containing G protein-coupled receptor 5",NA,"Q6UXX9","O75473",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:2169364621693640;CellTalkDB:21693646;Cellinker:21693646;Cellinker:29769720;Guide2Pharma:21693646;LRdb:21693646;SIGNOR:21693646;connectomeDB2020:21693646;scConnect:21693646",9,3,13,"both"
"361",TRUE,"Rspo3_Lgr5","Rspo3","R-spondin 3","Lgr5","leucine rich repeat containing G protein-coupled receptor 5",NA,"Q9BXY4","O75473",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:21693640;Baccin2019:21693646;CellTalkDB:21693646;Cellinker:21693646;Cellinker:29405118;Cellinker:29769720;Guide2Pharma:21693646;LRdb:21693646;SIGNOR:21693646;connectomeDB2020:21693646;scConnect:21693646",11,4,13,"both"
"362",TRUE,"Rspo3_Lgr6","Rspo3","R-spondin 3","Lgr6","leucine rich repeat containing G protein-coupled receptor 6",NA,"Q9BXY4","Q9HBX8",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:21693646;Baccin2019:21727895;CellTalkDB:21727895;Cellinker:21693646;Cellinker:21727895;Cellinker:29405118;Cellinker:29769720;Guide2Pharma:21693646;Guide2Pharma:21727895;LRdb:21727895;LRdb:22;connectomeDB2020:21693646;connectomeDB2020:21727895;scConnect:21693646;scConnect:21727895",15,5,12,"both"
"363",TRUE,"Rspo1_Lgr6","Rspo1","R-spondin 1","Lgr6","leucine rich repeat containing G protein-coupled receptor 6",NA,"Q2MKA7","Q9HBX8",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:21693646;Baccin2019:21727895;CellTalkDB:21727895;Cellinker:21693646;Cellinker:21727895;Cellinker:24349440;Guide2Pharma:21693646;Guide2Pharma:21727895;LRdb:21727895;LRdb:22;connectomeDB2020:21693646;connectomeDB2020:21727895;scConnect:21693646;scConnect:21727895",14,4,12,"both"
"364",TRUE,"Rspo2_Lgr6","Rspo2","R-spondin 2","Lgr6","leucine rich repeat containing G protein-coupled receptor 6",NA,"Q6UXX9","Q9HBX8",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:21693646;Baccin2019:21727895;CellTalkDB:21727895;Cellinker:21693646;Cellinker:21727895;Cellinker:29769720;Guide2Pharma:21693646;Guide2Pharma:21727895;LRdb:21727895;LRdb:22;connectomeDB2020:21693646;connectomeDB2020:21727895;scConnect:21693646;scConnect:21727895",14,4,12,"both"
"365",TRUE,"Rspo4_Lgr6","Rspo4","R-spondin 4","Lgr6","leucine rich repeat containing G protein-coupled receptor 6",NA,"Q2I0M5","Q9HBX8",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:21693646;Baccin2019:21727895;CellTalkDB:21727895;Cellinker:21693646;Cellinker:21727895;Guide2Pharma:21693646;Guide2Pharma:21727895;LRdb:21727895;LRdb:22;connectomeDB2020:21693646;connectomeDB2020:21727895;scConnect:21693646;scConnect:21727895",13,3,11,"both"
"366",TRUE,"Penk_Mrgprb2","Penk","proenkephalin","Mrgprb2","MAS related GPR family member X1",NA,"P01210","Q96LB2",1,1,0,1,1,0,"CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr","CellTalkDB:15163697;Cellinker:11850634;Cellinker:15163697;Cellinker:23396314;Guide2Pharma:11850634;Guide2Pharma:15163697;Guide2Pharma:23396314;LRdb:11850634;LRdb:15163697;LRdb:23396314;connectomeDB2020:11850634;connectomeDB2020:15163697;connectomeDB2020:23396314;scConnect:11850634;scConnect:15163697;scConnect:23396314",16,3,10,"both"
"367",TRUE,"Adm_Mrgprb1","Adm","adrenomedullin","Mrgprb1","MAS related GPR family member X2",NA,"P35318","Q96LB1",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:1611167315823560;Cellinker:15823563;Cellinker:16111673;Guide2Pharma:15823563;LRdb:16;LRdb:16111673;connectomeDB2020:15823563;connectomeDB2020:16111673;scConnect:15823563",9,4,11,"both"
"368",TRUE,"Il17b_Il17ra","Il17b","interleukin 17B","Il17ra","interleukin 17 receptor A",NA,"Q9UHF5","Q96F46",1,1,0,1,1,0,"Guide2Pharma;scConnect",NA,0,0,2,"LR"
"369",TRUE,"Il17b_Il17rb","Il17b","interleukin 17B","Il17rb","interleukin 17 receptor B",NA,"Q9UHF5","Q9NRM6",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:1074988710749880;CellTalkDB:10749887;Cellinker:10749887;HPRD:10749887;ICELLNET:24011563;InnateDB:10749887;InnateDB:11058597;LRdb:10749887;SIGNOR:10749887;connectomeDB2020:10749887",10,4,16,"both"
"370",TRUE,"Il1rn_Il2rg","Il1rn","interleukin 1 receptor antagonist","Il2rg","interleukin 2 receptor subunit gamma",NA,"P18510","P31785",1,0,1,1,0,1,"Guide2Pharma;scConnect",NA,0,0,2,"LR"
"371",TRUE,"Il1rn_Il2ra","Il1rn","interleukin 1 receptor antagonist","Il2ra","interleukin 2 receptor subunit alpha",NA,"P18510","P01589",1,0,1,1,0,1,"Guide2Pharma",NA,0,0,1,"LR"
"372",TRUE,"Il1rn_Il2rb","Il1rn","interleukin 1 receptor antagonist","Il2rb","interleukin 2 receptor subunit beta",NA,"P18510","P14784",1,0,1,1,0,1,"Guide2Pharma",NA,0,0,1,"LR"
"373",TRUE,"Pdyn_Oprk1","Pdyn","prodynorphin","Oprk1","opioid receptor kappa 1",NA,"P01213","P41145",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:1967312;Baccin2019:7624359;Baccin2019:7869844;Baccin2019:8170987;Baccin2019:9262330;Baccin2019:9686407;CellTalkDB:7869844;Cellinker:17503481;Cellinker:1967312;Cellinker:7624359;Cellinker:7869844;Cellinker:8170987;Cellinker:9262330;Cellinker:9686407;Guide2Pharma:1967312;Guide2Pharma:7624359;Guide2Pharma:7869844;Guide2Pharma:9262330;Guide2Pharma:9686407;LRdb:1967312;LRdb:7624359;LRdb:7869844;LRdb:8170987;LRdb:9262330;LRdb:9686407;SIGNOR:9262330;SIGNOR:9686407;connectomeDB2020:1967312;connectomeDB2020:7624359;connectomeDB2020:7869844;connectomeDB2020:8170987;connectomeDB2020:9262330;connectomeDB2020:9686407;scConnect:1967312;scConnect:7624359;scConnect:7869844;scConnect:9262330;scConnect:9686407",38,7,14,"both"
"374",TRUE,"Pomc_Oprk1","Pomc","proopiomelanocortin","Oprk1","opioid receptor kappa 1",NA,"P01189","P41145",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:7624359;Baccin2019:8624732;Baccin2019:9686407;CellTalkDB:8624732;Cellinker:7624359;Cellinker:8624732;Cellinker:9686407;Guide2Pharma:7624359;Guide2Pharma:9686407;HPMR:8624732;LRdb:7624359;LRdb:8624732;LRdb:9686407;SIGNOR:9686407;connectomeDB2020:7624359;connectomeDB2020:8624732;connectomeDB2020:9686407;scConnect:7624359;scConnect:9686407",19,3,15,"both"
"375",TRUE,"Pdgfc_Kdr","Pdgfc","platelet derived growth factor C","Kdr","kinase insert domain receptor",NA,"Q9NRA1","P35968",1,1,0,1,1,0,"CellCall;CellTalkDB;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Wang;iTALK;scConnect;talklr",NA,0,0,10,"LR"
"376",TRUE,"Kiss1_Kiss1r","Kiss1","KiSS-1 metastasis suppressor","Kiss1r","KISS1 receptor",NA,"Q15726","Q969F8",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:11385580;Baccin2019:11457843;Baccin2019:12944565;Baccin2019:15665093;CellTalkDB:12944565;Cellinker:11385580;Cellinker:11457843;Cellinker:12944565;Cellinker:15665093;Guide2Pharma:11385580;Guide2Pharma:11457843;HPMR:12944565;HPRD:11457843;LRdb:11385580;LRdb:11457843;LRdb:12944565;LRdb:15665093;SIGNOR:11385580;connectomeDB2020:11385580;connectomeDB2020:11457843;connectomeDB2020:12944565;connectomeDB2020:15665093;scConnect:11385580;scConnect:11457843",24,4,17,"both"
"377",TRUE,"Cga_Lhcgr","Cga","glycoprotein hormones, alpha polypeptide","Lhcgr","luteinizing hormone/choriogonadotropin receptor",NA,"P01215","P22888",1,1,0,1,1,0,"Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10342833;Baccin2019:12727981;Baccin2019:1922095;CellTalkDB:1922095;Cellinker:10342833;Cellinker:12727981;Cellinker:1922095;Guide2Pharma:12727981;Guide2Pharma:1922095;HPRD:10342833;LRdb:10342833;LRdb:12727981;LRdb:1922095;connectomeDB2020:10342833;connectomeDB2020:12727981;connectomeDB2020:1922095;scConnect:12727981;scConnect:1922095",18,3,15,"both"
"379",TRUE,"Lhb_Lhcgr","Lhb","luteinizing hormone subunit beta","Lhcgr","luteinizing hormone/choriogonadotropin receptor",NA,"P01229","P22888",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","CellTalkDB:1922095;Cellinker:12727981;Cellinker:1922095;Cellinker:3470775;Guide2Pharma:12727981;Guide2Pharma:1922095;HPRD:3470775;LRdb:12727981;LRdb:1922095;LRdb:3470775;SIGNOR:10446903;connectomeDB2020:12727981;connectomeDB2020:1922095;connectomeDB2020:3470775;scConnect:12727981;scConnect:1922095",16,4,15,"both"
"380",TRUE,"Pmch_Mchr1","Pmch","pro-melanin concentrating hormone","Mchr1","melanin concentrating hormone receptor 1",NA,"P20382","Q99705",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10421367;Baccin2019:10421368;Baccin2019:11375253;Baccin2019:11478907;Baccin2019:11839762;CellTalkDB:10421368;Cellinker:10421367;Cellinker:10421368;Cellinker:11375253;Cellinker:11478907;Cellinker:11839762;Guide2Pharma:10421367;Guide2Pharma:11375253;HPMR:10421367;HPMR:10421368;HPRD:11478907;HPRD:11839762;LRdb:10421367;LRdb:10421368;LRdb:11375253;LRdb:11478907;LRdb:11839762;SIGNOR:10421367;connectomeDB2020:10421367;connectomeDB2020:10421368;connectomeDB2020:11375253;connectomeDB2020:11478907;connectomeDB2020:11839762;scConnect:10421367;scConnect:11375253",30,5,17,"both"
"382",TRUE,"Pomc_Mc1r","Pomc","proopiomelanocortin","Mc1r","melanocortin 1 receptor",NA,"P01189","Q01726",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10942578;Baccin2019:11041375;Baccin2019:12007532;Baccin2019:1516719;Baccin2019:7774675;CellTalkDB:10942578;Cellinker:10942578;Cellinker:11041375;Cellinker:12007532;Cellinker:1516719;Cellinker:7774675;Guide2Pharma:12007532;HPRD:10942578;HPRD:11041375;LRdb:10942578;LRdb:11041375;LRdb:12007532;LRdb:1516719;LRdb:7774675;SIGNOR:19656324;connectomeDB2020:10942578;connectomeDB2020:11041375;connectomeDB2020:12007532;connectomeDB2020:1516719;connectomeDB2020:7774675;scConnect:12007532;scConnect:7774675",27,6,16,"both"
"383",TRUE,"Pomc_Mc3r","Pomc","proopiomelanocortin","Mc3r","melanocortin 3 receptor",NA,"P01189","P41968",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10358030;Baccin2019:10493100;Baccin2019:7774675;CellChatDB:11024027;CellTalkDB:10358030;Cellinker:10358030;Cellinker:10493100;Cellinker:7774675;Guide2Pharma:10358030;Guide2Pharma:10493100;LRdb:10358030;LRdb:10493100;LRdb:7774675;SIGNOR:17702843;connectomeDB2020:10358030;connectomeDB2020:10493100;connectomeDB2020:7774675;scConnect:10358030;scConnect:10493100;scConnect:7774675",20,5,15,"both"
"384",TRUE,"Agrp_Mc3r","Agrp","agouti related neuropeptide","Mc3r","melanocortin 3 receptor",NA,"O00253","P41968",1,1,1,1,0,1,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:11747427;Baccin2019:9311920;Baccin2019:9819197;Baccin2019:9893984;CellTalkDB:9311920;Cellinker:11747427;Cellinker:9311920;Cellinker:9819197;Cellinker:9893984;Guide2Pharma:9819197;HPRD:11747427;HPRD:9893984;LRdb:11747427;LRdb:9311920;LRdb:9819197;LRdb:9893984;SIGNOR:10318826;SIGNOR:9311920;connectomeDB2020:11747427;connectomeDB2020:9311920;connectomeDB2020:9819197;connectomeDB2020:9893984;scConnect:9819197",23,5,14,"both"
"385",TRUE,"Pomc_Mc4r","Pomc","proopiomelanocortin","Mc4r","melanocortin 4 receptor",NA,"P01189","P32245",1,1,0,1,1,0,"Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10493100;Baccin2019:11101306;Baccin2019:12165561;Baccin2019:8884876;BioGRID:11101306;BioGRID:9058374;CellChatDB:11024027;Cellinker:10493100;Cellinker:11101306;Cellinker:12165561;Cellinker:8884876;Guide2Pharma:10493100;Guide2Pharma:11101306;HPRD:11101306;HPRD:12165561;LRdb:10493100;LRdb:11101306;LRdb:12165561;LRdb:8884876;SIGNOR:20694162;connectomeDB2020:10493100;connectomeDB2020:11101306;connectomeDB2020:12165561;connectomeDB2020:8884876;scConnect:10493100;scConnect:11101306;scConnect:8884876",27,7,16,"both"
"386",TRUE,"Agrp_Mc4r","Agrp","agouti related neuropeptide","Mc4r","melanocortin 4 receptor",NA,"O00253","P32245",1,1,1,1,0,1,"Baccin2019;BioGRID;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10318826;Baccin2019:11747427;Baccin2019:12815165;Baccin2019:9299416;Baccin2019:9311920;BioGRID:10318826;BioGRID:12815165;CellTalkDB:9311920;Cellinker:10318826;Cellinker:11747427;Cellinker:12815165;Cellinker:9299416;Cellinker:9311920;Guide2Pharma:9299416;HPMR:9311920;HPRD:10318826;HPRD:11747427;HPRD:12815165;LRdb:10318826;LRdb:11747427;LRdb:12815165;LRdb:9299416;LRdb:9311920;SIGNOR:10318826;SIGNOR:9311920;connectomeDB2020:10318826;connectomeDB2020:11747427;connectomeDB2020:12815165;connectomeDB2020:9299416;connectomeDB2020:9311920;scConnect:9299416",31,5,17,"both"
"387",TRUE,"Pomc_Mc5r","Pomc","proopiomelanocortin","Mc5r","melanocortin 5 receptor",NA,"P01189","P33032",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:11606131;Baccin2019:11785979;Baccin2019:12007532;Baccin2019:7774675;Baccin2019:8185570;Cellinker:11606131;Cellinker:11785979;Cellinker:12007532;Cellinker:7774675;Cellinker:8185570;Guide2Pharma:12007532;HPMR:11785979;HPRD:11606131;HPRD:8185570;LRdb:11606131;LRdb:11785979;LRdb:12007532;LRdb:7774675;LRdb:8185570;SIGNOR:11785979;connectomeDB2020:11606131;connectomeDB2020:11785979;connectomeDB2020:12007532;connectomeDB2020:7774675;connectomeDB2020:8185570;scConnect:12007532;scConnect:7774675",27,5,17,"both"
"388",TRUE,"Agrp_Mc5r","Agrp","agouti related neuropeptide","Mc5r","melanocortin 5 receptor",NA,"O00253","P33032",1,0,1,1,0,1,"Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:98920209892020;CellTalkDB:9892020;Cellinker:9892020;Guide2Pharma:9892020;HPRD:9892020;LRdb:9892020;connectomeDB2020:9892020;scConnect:9892020",8,2,13,"both"
"390",TRUE,"Pdyn_Oprm1","Pdyn","prodynorphin","Oprm1","opioid receptor mu 1",NA,"P01213","P35372",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:9686407;Cellinker:9686407;Guide2Pharma:9686407;LRdb:9686407;SIGNOR:9686407;connectomeDB2020:9686407;scConnect:9686407",7,1,13,"both"
"391",TRUE,"Penk_Oprm1","Penk","proenkephalin","Oprm1","opioid receptor mu 1",NA,"P01210","P35372",1,1,0,1,1,0,"Baccin2019;CA1;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:9686407;CA1:15082510;Cellinker:9686407;Guide2Pharma:9686407;LRdb:9686407;connectomeDB2020:9686407;scConnect:9686407",7,2,14,"both"
"392",TRUE,"Ostn_Npr3","Ostn","osteocrin","Npr3","natriuretic peptide receptor 3",NA,"P61366","P17342",1,0,1,1,0,1,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:17951249;CellChatDB:29326144;CellTalkDB:17951249;Cellinker:17951249;Cellinker:29326144;Guide2Pharma:17951249;ICELLNET:17951249;ICELLNET:19244276;LRdb:17951249;connectomeDB2020:17951249;scConnect:17951249",11,3,14,"both"
